,action_name,action,reward,episode reward,epoch reward,total reward,lives,end of episode,end of epoch,info,episode,episode step,epoch,epoch step,step,action 0 episode sum,action 0 total sum,action 1 episode sum,action 1 total sum,action 2 episode sum,action 2 total sum,action 3 episode sum,action 3 total sum,action 4 episode sum,action 4 total sum,action 5 episode sum,action 5 total sum,action 6 episode sum,action 6 total sum,action 7 episode sum,action 7 total sum,action 8 episode sum,action 8 total sum
32,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,32,1,32,32,3,3,5,5,3,3,4,4,4,4,2,2,5,5,1,1,5,5
33,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,33,1,33,33,4,4,5,5,3,3,4,4,4,4,2,2,5,5,1,1,5,5
34,DOWNRIGHT,7,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,34,1,34,34,4,4,5,5,3,3,4,4,4,4,2,2,5,5,2,2,5,5
35,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,35,1,35,35,4,4,5,5,3,3,4,4,4,4,2,2,5,5,2,2,6,6
36,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,36,1,36,36,4,4,5,5,3,3,5,5,4,4,2,2,5,5,2,2,6,6
37,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,37,1,37,37,4,4,5,5,3,3,6,6,4,4,2,2,5,5,2,2,6,6
38,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,38,1,38,38,4,4,5,5,3,3,6,6,4,4,3,3,5,5,2,2,6,6
39,UPLEFT,6,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,39,1,39,39,4,4,5,5,3,3,6,6,4,4,3,3,6,6,2,2,6,6
40,UPLEFT,6,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,40,1,40,40,4,4,5,5,3,3,6,6,4,4,3,3,7,7,2,2,6,6
41,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,41,1,41,41,4,4,5,5,3,3,6,6,5,5,3,3,7,7,2,2,6,6
42,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,42,1,42,42,4,4,5,5,4,4,6,6,5,5,3,3,7,7,2,2,6,6
43,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,43,1,43,43,4,4,5,5,4,4,7,7,5,5,3,3,7,7,2,2,6,6
44,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,44,1,44,44,4,4,5,5,4,4,7,7,6,6,3,3,7,7,2,2,6,6
45,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,45,1,45,45,4,4,5,5,4,4,7,7,7,7,3,3,7,7,2,2,6,6
46,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,46,1,46,46,4,4,5,5,4,4,7,7,7,7,4,4,7,7,2,2,6,6
47,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,47,1,47,47,4,4,5,5,5,5,7,7,7,7,4,4,7,7,2,2,6,6
48,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,48,1,48,48,4,4,5,5,6,6,7,7,7,7,4,4,7,7,2,2,6,6
49,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,49,1,49,49,5,5,5,5,6,6,7,7,7,7,4,4,7,7,2,2,6,6
50,DOWNRIGHT,7,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,50,1,50,50,5,5,5,5,6,6,7,7,7,7,4,4,7,7,3,3,6,6
51,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,51,1,51,51,5,5,6,6,6,6,7,7,7,7,4,4,7,7,3,3,6,6
52,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,52,1,52,52,5,5,6,6,6,6,8,8,7,7,4,4,7,7,3,3,6,6
53,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,53,1,53,53,5,5,6,6,6,6,8,8,7,7,5,5,7,7,3,3,6,6
54,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,54,1,54,54,5,5,6,6,6,6,8,8,7,7,5,5,7,7,3,3,7,7
55,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,55,1,55,55,5,5,6,6,6,6,8,8,8,8,5,5,7,7,3,3,7,7
56,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,56,1,56,56,5,5,6,6,6,6,9,9,8,8,5,5,7,7,3,3,7,7
57,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,57,1,57,57,5,5,6,6,6,6,9,9,8,8,5,5,7,7,3,3,8,8
58,DOWNRIGHT,7,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,58,1,58,58,5,5,6,6,6,6,9,9,8,8,5,5,7,7,4,4,8,8
59,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,59,1,59,59,5,5,6,6,6,6,9,9,8,8,5,5,7,7,4,4,9,9
60,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,60,1,60,60,5,5,7,7,6,6,9,9,8,8,5,5,7,7,4,4,9,9
61,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,61,1,61,61,6,6,7,7,6,6,9,9,8,8,5,5,7,7,4,4,9,9
62,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,62,1,62,62,6,6,7,7,7,7,9,9,8,8,5,5,7,7,4,4,9,9
63,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,63,1,63,63,6,6,7,7,7,7,10,10,8,8,5,5,7,7,4,4,9,9
64,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,64,1,64,64,6,6,7,7,7,7,10,10,8,8,6,6,7,7,4,4,9,9
65,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,65,1,65,65,6,6,7,7,8,8,10,10,8,8,6,6,7,7,4,4,9,9
66,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,66,1,66,66,6,6,7,7,9,9,10,10,8,8,6,6,7,7,4,4,9,9
67,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,67,1,67,67,7,7,7,7,9,9,10,10,8,8,6,6,7,7,4,4,9,9
68,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,68,1,68,68,8,8,7,7,9,9,10,10,8,8,6,6,7,7,4,4,9,9
69,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,69,1,69,69,8,8,7,7,9,9,10,10,8,8,6,6,7,7,4,4,10,10
70,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,70,1,70,70,9,9,7,7,9,9,10,10,8,8,6,6,7,7,4,4,10,10
71,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,71,1,71,71,9,9,7,7,9,9,10,10,8,8,6,6,7,7,4,4,11,11
72,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,72,1,72,72,10,10,7,7,9,9,10,10,8,8,6,6,7,7,4,4,11,11
73,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,73,1,73,73,10,10,7,7,9,9,10,10,9,9,6,6,7,7,4,4,11,11
74,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,74,1,74,74,11,11,7,7,9,9,10,10,9,9,6,6,7,7,4,4,11,11
75,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,75,1,75,75,11,11,7,7,10,10,10,10,9,9,6,6,7,7,4,4,11,11
76,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,76,1,76,76,12,12,7,7,10,10,10,10,9,9,6,6,7,7,4,4,11,11
77,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,77,1,77,77,12,12,7,7,10,10,10,10,9,9,7,7,7,7,4,4,11,11
78,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,78,1,78,78,12,12,7,7,10,10,10,10,10,10,7,7,7,7,4,4,11,11
79,DOWNRIGHT,7,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,79,1,79,79,12,12,7,7,10,10,10,10,10,10,7,7,7,7,5,5,11,11
80,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,80,1,80,80,13,13,7,7,10,10,10,10,10,10,7,7,7,7,5,5,11,11
81,UPLEFT,6,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,81,1,81,81,13,13,7,7,10,10,10,10,10,10,7,7,8,8,5,5,11,11
82,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,82,1,82,82,13,13,7,7,10,10,10,10,10,10,7,7,8,8,5,5,12,12
83,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,83,1,83,83,14,14,7,7,10,10,10,10,10,10,7,7,8,8,5,5,12,12
84,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,84,1,84,84,15,15,7,7,10,10,10,10,10,10,7,7,8,8,5,5,12,12
85,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,85,1,85,85,15,15,7,7,10,10,10,10,10,10,8,8,8,8,5,5,12,12
86,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,86,1,86,86,15,15,7,7,10,10,11,11,10,10,8,8,8,8,5,5,12,12
87,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,87,1,87,87,16,16,7,7,10,10,11,11,10,10,8,8,8,8,5,5,12,12
88,UPLEFT,6,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,88,1,88,88,16,16,7,7,10,10,11,11,10,10,8,8,9,9,5,5,12,12
89,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,89,1,89,89,16,16,8,8,10,10,11,11,10,10,8,8,9,9,5,5,12,12
90,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,90,1,90,90,16,16,9,9,10,10,11,11,10,10,8,8,9,9,5,5,12,12
91,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,91,1,91,91,16,16,10,10,10,10,11,11,10,10,8,8,9,9,5,5,12,12
92,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,92,1,92,92,16,16,10,10,10,10,11,11,10,10,9,9,9,9,5,5,12,12
93,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,93,1,93,93,16,16,11,11,10,10,11,11,10,10,9,9,9,9,5,5,12,12
94,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,94,1,94,94,16,16,11,11,11,11,11,11,10,10,9,9,9,9,5,5,12,12
95,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,95,1,95,95,16,16,11,11,11,11,11,11,10,10,10,10,9,9,5,5,12,12
96,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,96,1,96,96,17,17,11,11,11,11,11,11,10,10,10,10,9,9,5,5,12,12
97,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,97,1,97,97,17,17,11,11,11,11,11,11,11,11,10,10,9,9,5,5,12,12
98,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,98,1,98,98,17,17,12,12,11,11,11,11,11,11,10,10,9,9,5,5,12,12
99,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,99,1,99,99,17,17,12,12,11,11,11,11,11,11,11,11,9,9,5,5,12,12
100,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,100,1,100,100,17,17,12,12,11,11,11,11,12,12,11,11,9,9,5,5,12,12
101,DOWNLEFT,8,1.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,101,1,101,101,17,17,12,12,11,11,11,11,12,12,11,11,9,9,5,5,13,13
102,DOWNLEFT,8,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,102,1,102,102,17,17,12,12,11,11,11,11,12,12,11,11,9,9,5,5,14,14
103,UPRIGHT,5,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,103,1,103,103,17,17,12,12,11,11,11,11,12,12,12,12,9,9,5,5,14,14
104,DOWNLEFT,8,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,104,1,104,104,17,17,12,12,11,11,11,11,12,12,12,12,9,9,5,5,15,15
105,UPLEFT,6,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,105,1,105,105,17,17,12,12,11,11,11,11,12,12,12,12,10,10,5,5,15,15
106,DOWNLEFT,8,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,106,1,106,106,17,17,12,12,11,11,11,11,12,12,12,12,10,10,5,5,16,16
107,UPRIGHT,5,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,107,1,107,107,17,17,12,12,11,11,11,11,12,12,13,13,10,10,5,5,16,16
108,NOOP,0,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,108,1,108,108,18,18,12,12,11,11,11,11,12,12,13,13,10,10,5,5,16,16
109,NOOP,0,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,109,1,109,109,19,19,12,12,11,11,11,11,12,12,13,13,10,10,5,5,16,16
110,LEFT,3,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,110,1,110,110,19,19,12,12,11,11,12,12,12,12,13,13,10,10,5,5,16,16
111,UP,1,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,111,1,111,111,19,19,13,13,11,11,12,12,12,12,13,13,10,10,5,5,16,16
112,UPRIGHT,5,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,112,1,112,112,19,19,13,13,11,11,12,12,12,12,14,14,10,10,5,5,16,16
113,NOOP,0,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,113,1,113,113,20,20,13,13,11,11,12,12,12,12,14,14,10,10,5,5,16,16
114,UPLEFT,6,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,114,1,114,114,20,20,13,13,11,11,12,12,12,12,14,14,11,11,5,5,16,16
115,NOOP,0,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,115,1,115,115,21,21,13,13,11,11,12,12,12,12,14,14,11,11,5,5,16,16
116,NOOP,0,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,116,1,116,116,22,22,13,13,11,11,12,12,12,12,14,14,11,11,5,5,16,16
117,DOWNRIGHT,7,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,117,1,117,117,22,22,13,13,11,11,12,12,12,12,14,14,11,11,6,6,16,16
118,DOWNRIGHT,7,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,118,1,118,118,22,22,13,13,11,11,12,12,12,12,14,14,11,11,7,7,16,16
119,UPRIGHT,5,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,119,1,119,119,22,22,13,13,11,11,12,12,12,12,15,15,11,11,7,7,16,16
120,NOOP,0,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,120,1,120,120,23,23,13,13,11,11,12,12,12,12,15,15,11,11,7,7,16,16
121,RIGHT,2,0.0,1.0,1.0,1.0,5,False,False,{'ale.lives': 5},1,121,1,121,121,23,23,13,13,12,12,12,12,12,12,15,15,11,11,7,7,16,16
122,DOWN,4,1.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,122,1,122,122,23,23,13,13,12,12,12,12,13,13,15,15,11,11,7,7,16,16
123,NOOP,0,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,123,1,123,123,24,24,13,13,12,12,12,12,13,13,15,15,11,11,7,7,16,16
124,RIGHT,2,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,124,1,124,124,24,24,13,13,13,13,12,12,13,13,15,15,11,11,7,7,16,16
125,RIGHT,2,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,125,1,125,125,24,24,13,13,14,14,12,12,13,13,15,15,11,11,7,7,16,16
126,RIGHT,2,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,126,1,126,126,24,24,13,13,15,15,12,12,13,13,15,15,11,11,7,7,16,16
127,NOOP,0,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,127,1,127,127,25,25,13,13,15,15,12,12,13,13,15,15,11,11,7,7,16,16
128,UPRIGHT,5,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,128,1,128,128,25,25,13,13,15,15,12,12,13,13,16,16,11,11,7,7,16,16
129,NOOP,0,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,129,1,129,129,26,26,13,13,15,15,12,12,13,13,16,16,11,11,7,7,16,16
130,LEFT,3,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,130,1,130,130,26,26,13,13,15,15,13,13,13,13,16,16,11,11,7,7,16,16
131,UPLEFT,6,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,131,1,131,131,26,26,13,13,15,15,13,13,13,13,16,16,12,12,7,7,16,16
132,DOWNRIGHT,7,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,132,1,132,132,26,26,13,13,15,15,13,13,13,13,16,16,12,12,8,8,16,16
133,NOOP,0,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,133,1,133,133,27,27,13,13,15,15,13,13,13,13,16,16,12,12,8,8,16,16
134,RIGHT,2,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,134,1,134,134,27,27,13,13,16,16,13,13,13,13,16,16,12,12,8,8,16,16
135,NOOP,0,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,135,1,135,135,28,28,13,13,16,16,13,13,13,13,16,16,12,12,8,8,16,16
136,LEFT,3,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,136,1,136,136,28,28,13,13,16,16,14,14,13,13,16,16,12,12,8,8,16,16
137,NOOP,0,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,137,1,137,137,29,29,13,13,16,16,14,14,13,13,16,16,12,12,8,8,16,16
138,DOWNRIGHT,7,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,138,1,138,138,29,29,13,13,16,16,14,14,13,13,16,16,12,12,9,9,16,16
139,UPLEFT,6,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,139,1,139,139,29,29,13,13,16,16,14,14,13,13,16,16,13,13,9,9,16,16
140,UPLEFT,6,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,140,1,140,140,29,29,13,13,16,16,14,14,13,13,16,16,14,14,9,9,16,16
141,NOOP,0,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,141,1,141,141,30,30,13,13,16,16,14,14,13,13,16,16,14,14,9,9,16,16
142,LEFT,3,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,142,1,142,142,30,30,13,13,16,16,15,15,13,13,16,16,14,14,9,9,16,16
143,DOWNRIGHT,7,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,143,1,143,143,30,30,13,13,16,16,15,15,13,13,16,16,14,14,10,10,16,16
144,DOWN,4,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,144,1,144,144,30,30,13,13,16,16,15,15,14,14,16,16,14,14,10,10,16,16
145,RIGHT,2,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,145,1,145,145,30,30,13,13,17,17,15,15,14,14,16,16,14,14,10,10,16,16
146,NOOP,0,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,146,1,146,146,31,31,13,13,17,17,15,15,14,14,16,16,14,14,10,10,16,16
147,UP,1,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,147,1,147,147,31,31,14,14,17,17,15,15,14,14,16,16,14,14,10,10,16,16
148,NOOP,0,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,148,1,148,148,32,32,14,14,17,17,15,15,14,14,16,16,14,14,10,10,16,16
149,LEFT,3,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,149,1,149,149,32,32,14,14,17,17,16,16,14,14,16,16,14,14,10,10,16,16
150,UPRIGHT,5,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,150,1,150,150,32,32,14,14,17,17,16,16,14,14,17,17,14,14,10,10,16,16
151,UPRIGHT,5,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,151,1,151,151,32,32,14,14,17,17,16,16,14,14,18,18,14,14,10,10,16,16
152,RIGHT,2,0.0,2.0,2.0,2.0,5,False,False,{'ale.lives': 5},1,152,1,152,152,32,32,14,14,18,18,16,16,14,14,18,18,14,14,10,10,16,16
